Name,X,Y,Angle,Value,Package
C1,3.45,26.04,180.00,10uf,CAPPRD200W55D500H1200
C2,16.14,26.04,180.00,10uf,CAPPRD200W55D500H1200
C3,5.08,55.88,180.00,0.1uF,0402
C4,15.24,59.69,0.00,0.1uF,0402
IC1,10.16,57.79,0.00,TL072BIDT,SOIC127P600X175-8N
R1,9.78,88.90,270.00,120k,RESC1608X60
R2,9.78,73.66,270.00,120k,RESC1608X60
R3,9.78,66.04,90.00,120k,RESC1608X60
R4,5.08,59.18,90.00,120k,RESC1608X60
R5,5.58,61.46,0.00,120k,RESC1608X60
R6,16.51,55.88,90.00,120k,RESC1608X60
R7,17.78,15.24,270.00,1k,RESC1005X40
R8,1.34,15.24,270.00,1k,RESC1005X40
SV1,9.78,18.27,0.00,EURO_POWER_HEADERREGULAR,EURO_POWER_HEADER
