Name,X,Y,Angle,Value,Package
C1,19.02,45.75,270.00,220uf,CAPAE830X1050N
C10,11.43,29.85,90.00,TAJA106K016RNJ,CAPPM3216X180N
C11,9.01,30.48,90.00,0.1uF,0603
C2,18.41,18.41,90.00,220uf,CAPAE830X1050N
C3,24.77,45.09,270.00,0.1uF,0603
C4,23.37,4.45,270.00,0.1uF,0603
C5,13.34,39.37,90.00,0.1uF,0603
C6,10.16,45.75,90.00,220uf,CAPAE830X1050N
C9,17.14,34.93,180.00,TAJA106K016RNJ,CAPPM3216X180N
FB1,10.16,24.77,0.00,BLM21PG300SN1D,BEADC2012X105N
FB2,12.07,19.05,270.00,BLM21PG300SN1D,BEADC2012X105N
FB3,6.99,38.73,90.00,BLM21PG300SN1D,BEADC2012X105N
IC2,17.14,29.85,0.00,LM1117MPX-3.3_NOPB,SOT230P700X180-4N
J1,3.81,27.94,90.00,640456-6,SHDR6W66P0X254_1X6_1524X572X10
JP5,29.85,26.16,270.00,PINHD-1X2,1X02
