Part,Value,Device,Package,Description,
C1,220uf,CAPACITOR-POL_ECAP-8.5MM,CAPAE830X1050N,"Capacitor Polarised - Generic",
C2,220uf,CAPACITOR-POL_ECAP-8.5MM,CAPAE830X1050N,"Capacitor Polarised - Generic",
C3,0.1uF,0.1UF-0603-100V-10%,0603,"0.1µF ceramic capacitors",
C4,0.1uF,0.1UF-0603-100V-10%,0603,"0.1µF ceramic capacitors",
C5,0.1uF,0.1UF-0603-100V-10%,0603,"0.1µF ceramic capacitors",
C6,220uf,CAPACITOR-POL_ECAP-8.5MM,CAPAE830X1050N,"Capacitor Polarised - Generic",
C9,TAJA106K016RNJ,TAJA106K016RNJ,CAPPM3216X180N,"AVX - TAJA106K016RNJ - CAP, TANT, 10UF, 16V, CASE A",
C10,TAJA106K016RNJ,TAJA106K016RNJ,CAPPM3216X180N,"AVX - TAJA106K016RNJ - CAP, TANT, 10UF, 16V, CASE A",
C11,0.1uF,0.1UF-0603-100V-10%,0603,"0.1µF ceramic capacitors",
FB1,BLM21PG300SN1D,BLM21PG300SN1D,BEADC2012X105N,"30 Ohms @ 100MHz 1 Power Line Ferrite Bead 0805 (2012 Metric) 4A 14mOhm",
FB2,BLM21PG300SN1D,BLM21PG300SN1D,BEADC2012X105N,"30 Ohms @ 100MHz 1 Power Line Ferrite Bead 0805 (2012 Metric) 4A 14mOhm",
FB3,BLM21PG300SN1D,BLM21PG300SN1D,BEADC2012X105N,"30 Ohms @ 100MHz 1 Power Line Ferrite Bead 0805 (2012 Metric) 4A 14mOhm",
IC2,LM1117MPX-3.3_NOPB,LM1117MPX-3.3_NOPB,SOT230P700X180-4N,"Space saving 800-mA low-dropout linear regulator with internal current limit",
J1,640456-6,640456-6,SHDR6W66P0X254_1X6_1524X572X10,"Body Features: Primary Product Color Natural | Configuration Features: Number of Rows 1 | Number of Columns 6 | PCB Mount Orientation Vertical | Number of Positions 6 | Contact Features: Contact Underplating Material Thickness 50 MICIN | Contact Underplating Material Thickness 1.27 MICM | Mating Square Post Dimension .64 MM | Contact Layout Inline | Contact Mating Area Length .295 INCH | Contact Mating Area Plating Material Thickness 3.81 MICM | Contact Base Material Copper Alloy | Contact Mating Area Plati",
JP1,PINHD-1X2,PINHD-1X2,1X02,"PIN HEADER",
JP2,PINHD-1X2,PINHD-1X2,1X02,"PIN HEADER",
JP3,PINHD-1X5,PINHD-1X5,1X05,"PIN HEADER",
JP4,PINHD-1X5,PINHD-1X5,1X05,"PIN HEADER",
JP5,PINHD-1X2,PINHD-1X2,1X02,"PIN HEADER",
JP6,PINHD-2X5,PINHD-2X5,2X05,"PIN HEADER",
JP7,PINHD-2X5,PINHD-2X5,2X05,"PIN HEADER",
